question,answer,subtopic,difficulty,generated_at
Explain RAID 0 (striping) vs RAID 1 (mirroring) in storage systems.,RAID 0 stripes data across disks for performance but no redundancy. RAID 1 mirrors data across disks for fault tolerance but reduced capacity. Use scenarios include speed vs reliability needs.,Systems,Medium,2025-11-27T15:01:21.155787
Define symmetric vs asymmetric encryption in cybersecurity.,Symmetric uses same key for encryption/decryption (faster,needs secure key exchange). Asymmetric uses public/private key pairs (securely exchanges keys,"slower). Common for TLS/SSL security. Parameters: key usage, speed, security.,Security,Easy",2025-11-27T15:01:21.155791
In computational theory,how does PSPACE relate to NP? Is PSPACE a subset? The other way around?,PSPACE represents problems solvable with polynomial space,"NP with non-deterministic polynomial time. PSPACE contains NP but is more general, as TQBF-Turing reductions show PSPACE is at least as complex, possibly larger.,Theory of Computation,Hard",2025-11-27T15:01:21.155795
What are the time/space complexities for Bellman-Ford vs Dijkstra's shortest path algorithms?,Bellman-Ford: O(VE) time,O(V) space,"handles negative weights. Dijkstra's: O(E + V log V) with heap, O(E + V) space, fails with negatives. Tradeoffs in use cases like routing with feasible edges.,Algorithms,Hard",2025-11-27T15:01:21.155799
What are the steps in a TCP three-way handshake?,Establish connection with SYN (sender),SYN-ACK (receiver),"ACK (sender). Synchronizes sequence numbers, negotiates parameters without data transfer. Enables reliable byte-stream communication over IP.,Networking,Medium",2025-11-27T15:01:21.155802
Compare inner join,outer join,left/right joins in SQL.,"INNER JOIN returns matching rows. FULL OUTER JOIN returns all rows. LEFT/RIGHT include all left/right with NULLs on missing. Used for merging tables with or without matches. JOIN types affect result sets.,Databases,Medium",2025-11-27T15:01:21.155806
Processes and threads both run code,but processes have separate memory,threads share memory/process resources. OS context switches between processes are heavier than threads due to kernel-space switching vs user-space.,"Operating Systems,Easy",2025-11-27T15:01:21.155809
Interpret cybersecurity CSRF (Cross-Site Request Forgery),mechanism and mitigation strategies.,CSRF tricks browsers into sending forged requests on behalf of authenticated users. Uses session tokens,"SameSite flags, CSRF tokens in forms. Mitigated via CSRF tokens, checking Referer headers, CSRF protection middleware.,Security,Easy",2025-11-27T15:01:21.155813
Explain supervised vs unsupervised vs reinforcement learning in ML.,Supervised learns from labeled data,unsupervised finds patterns in unlabeled,"reinforcement learns via reward/penalty feedback. Common algorithms include regression, clustering, Q-learning. Parameter: input type, problem scope.,Artificial Intelligence,Medium",2025-11-27T15:01:21.155817
Software engineering code reviews: benefits and best practices.,Code reviews catch bugs,improve quality,"share knowledge. Best practices: structured reviews, checklists, blameless culture, mix review types (manual/automated). Helps align with standards.,Software Engineering,Easy",2025-11-27T15:01:21.155820
What are database indexing strategies like B-Trees,Hash Indexes,and GIN indexes?,"B-Tree supports range queries. Hash Index for equality lookups with O(1). GIN (Generalized Inverted Index) handles multi-value data like text. Choose based on query type, schema constraints.,Databases,Medium",2025-11-27T15:01:21.155824
QuickSort's worst-case time complexity occurs when pivot choice divides input poorly,e.g.,O(n²) for sorted lists. Mitigated in practice via randomized pivots or median-of-three. Algorithm divides via partitioned pivot during recursive sorting.,"Algorithms,Hard",2025-11-27T15:01:21.155828
ANALOG COMPUTERS use continuous physical phenomena for solutions. DIGITAL use discrete binary states. Analog approximates,digital computes exactly. Tradeoffs in accuracy,component count,"domains (empirical modeling vs general computation).,Theory of Computation,Easy",2025-11-27T15:01:21.155832
Difference between HTTP and HTTPS in network layer?,HTTP unencrypted plaintext. HTTPS uses TLS/SSL encryption. HTTPS prevents eavesdropping and tampering. Common web services use HTTPS,authenticated by certificates.,"Networking,Easy",2025-11-27T15:01:21.155835
Operating System virtual memory extends RAM using disk space,enabling larger address spaces. Paging/compression with page tables managed by MMU. Detalles on swapping,page faults,"address translation. Increases RAM effective capacity.,Operating Systems,Medium",2025-11-27T15:01:21.155838
OAuth 2.0 standard defines authorization framework delegating access without sharing passwords,using tokens (JWT,Bearer). Scopes,"client credentials, and tokens vs URIs for resource access compared to traditional username/password.,Security,Medium",2025-11-27T15:01:21.155842
Artificial intelligence model types: Supervised (labeled data),Unsupervised (clusters/patterns),Reinforcement (agent-environment interaction). Each optimizes for error reduction,"clustering quality, reward maximization. Common use cases: classification, image grouping, game AI.,Artificial Intelligence,Easy",2025-11-27T15:01:21.155845
Software Engineering technical debt: accumulates from rushed cuts,incomplete features,or simplistic coding. Tracked via metrics,"refactored during sprints. Tradeoff: short-term speed vs long-term maintainability.,Software Engineering,Medium",2025-11-27T15:01:21.155848
Database sharding splits data horizontally (by key) across nodes for scalability. Replication copies data. Sharding improves read/write performance,replication ensures redundancy/fault tolerance. Combines sharding+replication for both.,Databases,Medium,2025-11-27T15:01:21.155852
Knapsack problem NP-complete; NP-hard requires finding optimal solution. Parameters: decision vs optimization,design solutions.,Algorithms,Hard,2025-11-27T15:01:21.155856
Turing Machine definition: abstract model with tape,head,states,"transitions. Proves language families (e.g., decidability). Completeness (Turing Machines compute everything consistent models can) and hierarchy theorems follow.,Theory of Computation,Easy",2025-11-27T15:01:21.155859
Network Load Balancing distributes traffic across servers using algorithms (round-robin,least connections). Improves redundancy,scalability,"prevents overload. Used at ingress/egress layers. Related to CDNs, DNS load balancing.,Networking,Medium",2025-11-27T15:01:21.155863
OS daemon processes run in background without user interaction,create child PID 1,write logs via syslog. Examples: SSH,"cron, cronie. Manage system-level tasks automatically.,Operating Systems,Medium",2025-11-27T15:01:21.155867
CSRF protection mechanisms include SameSite cookies,CSRF tokens,anti-CSRF headers (XSRF-TOKEN). Frameworks provide built-in middleware. Verifies referer/origin,"tokens, user intent. Critical for web security.,Security,Medium",2025-11-27T15:01:21.155870
AI Neural Networks layers: input perceptron activations,hidden layers amplifying/extrating features,output layer. Structures vary per task (CNNs,"RNNs). Backpropagation trains weights via gradient descent.,Artificial Intelligence,Easy",2025-11-27T15:01:21.155874
Software Engineering microservices vs monolithic: microservices decouple business logic,independently deployable. Monolithic tightly coupled code. Tradeoffs in scalability vs complexity,team coordination.,"Software Engineering,Medium",2025-11-27T15:01:21.155877
Database normalization organizes tables into normal forms (1NF,2NF,3NF,"BCNF) to reduce redundancy, ensure data integrity. Separates attributes into related tables, avoids update anomalies.,Databases,Easy",2025-11-27T15:01:21.155881
Longest Increasing Subsequence finds optimal method to extract non-decreasing subsequence using DP/Divide and Conquer. Recursive methods possible but O(2^n) vs DP O(n²) or O(n log n) optimizations. Applications in scheduling,finance.,Algorithms,Hard,2025-11-27T15:01:21.155888
The Halting Problem in TOC: no algorithm can decide halting for any input (Reduction to decision problem). Proves undecidability,basis of uncomputable functions. Halting Turing Machines theoretical models.,Theory of Computation,Hard,2025-11-27T15:01:21.155892
Networking NAT vs PAT: Network Address Translation hides private IPs. PAT extends NAT by sharing public IP across multiple IPs on different ports,increasing scalability,used in routers.,"Networking,Medium",2025-11-27T15:01:21.155895
OS Page Replacement Algorithms: FIFO evicts oldest page,Least Recently Used (LRU),Optimal. Tradeoffs in performance: O(n log n) vs practical implementations. Critical in virtual memory efficiency.,"Operating Systems,Hard",2025-11-27T15:01:21.155899
MITM Attack intercepts client-server traffic via man-in-the-middle. Mitigations: HTTPS,certificate pinning,TLS fingerprinting. Common in insecure/wiretap-prone networks,"like unsecured Wi-Fi.,Security,Easy",2025-11-27T15:01:21.155902
Artificial Intelligence Deep Learning uses multi-layer neural networks. Layers model complex non-linearities,requires large data/training. Architectures include CNNs (images),RNNs (sequences). Backpropagation computes gradients.,"Artificial Intelligence,Easy",2025-11-27T15:01:21.155906
Educational software code reviews: benefits include knowledge transfer,improves code quality,catches bugs,"and enforces standards. Best practices: structured approach, checklists, automated testing accompanying.,Software Engineering,Medium",2025-11-27T15:01:21.155909
Indexing types in databases: B-Tree for range/equality queries,Hash for equality only,GIN for full-text multi-valued. Space-Time tradeoffs. Choose index type based on query patterns and data access.,"Databases,Medium",2025-11-27T15:01:21.155913
Dijkstra's algorithm solves shortest path from source in graph with non-negative weights. Use case in routing,maps. Implemented with priority queue,O(E log V),"space O(E + V). Guarantees optimality via relaxation.,Algorithms,Medium",2025-11-27T15:01:21.155916
Definition of Recursive Extension in computability: generalizes Turing machine to multi-track tapes,enhancing capability. Equivalent to TM in power but clarifies concise notation. Rice's Theorem applies regardless.,Theory of Computation,Hard,2025-11-27T15:01:21.155920
SQL JOIN types: INNER returns matches,LEFT includes left table rows alone,RIGHT right table rows alone,"FULL returns all. Necessary to join datasets, affects row existence in results.,Databases,Easy",2025-11-27T15:01:21.155923
Algorithm Longest Increasing Subsequence: DP approach builds subsequences,stores lengths incrementally. Harder variations with maximal sum use DP with states. Euclidean considerations,binary search optimizations.,"Algorithms,Hard",2025-11-27T15:01:21.155927
Network load balancing directs HTTP traffic via round-robin,least connections,IP hash. Improves application scalability,"fault tolerance, response time. Can use Layer 4/7 for protocol vs application layer balancing.,Networking,Medium",2025-11-27T15:01:21.155931
OS process vs thread: Threads share memory,easier communication. Qualify process isolation vs thread sharing tradeoffs. Context switches faster for threads due to locality benefits.,Operating Systems,Easy,2025-11-27T15:01:21.155935
MITM attack intercepts unencrypted communications (HTTP,unsecured Wi-Fi). Solutions: transport layer security (TLS),certificate validation,"user vigilance. Compromises data integrity, authentication mechanisms.,Security,Medium",2025-11-27T15:01:21.155938
AI Neural Networks: Composed of layers (input,hidden,output). Activation functions (ReLU,"Sigmoid), training via backpropagation. Applications in image, speech recognition, generative models. Computationally intensive.,Artificial Intelligence,Medium",2025-11-27T15:01:21.155942
Software Engineering Microservices architecture decouples services,APIs communicate. Improves scalability,extensibility vs coordination complexity,"service discovery, logging. Alternative to monolithic systems.,Software Engineering,Medium",2025-11-27T15:01:21.155946
Database normalization reduces redundancy through normal forms (1NF,2NF,3NF). Ensures consistent data relations,"minimal duplication, update-friendly design. Decomposition into tables based on dependencies.,Databases,Easy",2025-11-27T15:01:21.155949
Longest Increasing Subsequence problems solved via dynamic programming. Complexity O(n²),optimized with patience sorting O(n log n). Used in programming contests for sequence processing,real-world case.,"Algorithms,Hard",2025-11-27T15:01:21.155955
Halting Problem: Turing completeness equates to any computation. If Halting solved,so would other reductions,violating the diagonal lemma. Basic concept taught in TOC fundamentals.,"Theory of Computation,Easy",2025-11-27T15:01:21.155958
Natural Language Processing (NLP) enables machines to interpret text/generated language. Transforms text into embeddings via BERT,LSTM networks. Applications: translation,summarization,"chatbots.,Artificial Intelligence,Easy",2025-11-27T15:01:21.155962
DevOps Pipeline steps: Source code commits trigger CI/CD jobs. Automates testing,builds,deployment. Configures triggers,"stages, approvals. Platforms like GitLab CI, Jenkins, Azure DevOps integrate with monitoring.,Software Engineering,Medium",2025-11-27T15:01:21.155965
Graph Databases store data as nodes,edges (relations). Efficient for relationships vs relational tables. Cypher query language for patterns like pathfinding,transactions. Use in social networks,"fraud detection.,Databases,Medium",2025-11-27T15:01:21.155969
Turing Machine Hierarchy Theorems state DTIME(N²) < DTIME(N³) (spacing). Polynomial time containment but exponential hierarchy of space/compute,proving infinite complexity tiers.,Theory of Computation,Medium,2025-11-27T15:01:21.155975
Comparing NAT and PAT: Private addresses hidden behind shared public IP; NAT uses unique ports,PAT reuses ports with IPs. PAT supports more devices on limited public addresses.,Networking,Medium,2025-11-27T15:01:21.155978
OS Inode Structure stores metadata (file size,timestamps,permissions,"block pointers) for efficient file management. Direct and indirect blocks mirror file structure. Disk-based allocation system.,Operating Systems,Medium",2025-11-27T15:01:21.155982
MITM Attack solved by TLS mutual authentication,certificate pinning,Perfect Forward Secrecy. Ensures server authenticity,"encrypts session data. Critical in HTTPS, IoT security.,Security,Medium",2025-11-27T15:01:21.155985
